WATER_BODY,PSN,STN_DATE,YEAR,SEASON,PARAMETER_CLASS,CODE,ABBREV,FULL_NAME,VALUE_REPORTED,UNITS_REPORTED,VALUE_MG_L,FLAG,DETECTION,DEPTH_FROM,DEPTH_TO,LATITUDE_DD,LONGITUDE_DD
GEORGIAN BAY,1,2000-08-24 06:26:00,2000,Summer,Total phosphorus,264,TF P,"PHOSPHORUS,TOTAL FILTERED",.002000,MG P/L,0.002,,0.00020000,13.00,.00,44.71806,-80.85583
GEORGIAN BAY,1,2000-08-24 06:26:00,2000,Summer,Total phosphorus,264,TF P,"PHOSPHORUS,TOTAL FILTERED",.002800,MG P/L,0.0028,,0.00020000,18.00,.00,44.71806,-80.85583
GEORGIAN BAY,1,2000-08-24 06:26:00,2000,Summer,Total phosphorus,264,TF P,"PHOSPHORUS,TOTAL FILTERED",.002000,MG P/L,0.002,,0.00020000,38.00,.00,44.71806,-80.85583
GEORGIAN BAY,1,2000-08-24 06:26:00,2000,Summer,Total phosphorus,264,TF P,"PHOSPHORUS,TOTAL FILTERED",.001900,MG P/L,0.0019,,0.00020000,52.50,.00,44.71806,-80.85583
GEORGIAN BAY,1,2000-08-24 06:26:00,2000,Summer,Total phosphorus,264,TF P,"PHOSPHORUS,TOTAL FILTERED",.002300,MG P/L,0.0023,,0.00020000,87.00,.00,44.71806,-80.85583
GEORGIAN BAY,11,2000-08-24 08:18:00,2000,Summer,Total phosphorus,260,TP,"PHOSPHOROUS,TOTAL",.002200,MG P/L,0.0022,,0.00020000,1.00,.00,44.92028,-80.60611
GEORGIAN BAY,11,2000-08-24 08:18:00,2000,Summer,Total phosphorus,260,TP,"PHOSPHOROUS,TOTAL",.002700,MG P/L,0.0027,,0.00020000,20.50,.00,44.92028,-80.60611
GEORGIAN BAY,11,2000-08-24 08:18:00,2000,Summer,Total phosphorus,260,TP,"PHOSPHOROUS,TOTAL",.002900,MG P/L,0.0029,,0.00020000,23.50,.00,44.92028,-80.60611
GEORGIAN BAY,11,2000-08-24 08:18:00,2000,Summer,Total phosphorus,260,TP,"PHOSPHOROUS,TOTAL",.004400,MG P/L,0.0044,,0.00020000,35.00,.00,44.92028,-80.60611
GEORGIAN BAY,11,2000-08-24 08:18:00,2000,Summer,Total phosphorus,260,TP,"PHOSPHOROUS,TOTAL",.003300,MG P/L,0.0033,,0.00020000,48.00,.00,44.92028,-80.60611
